Título;Tema;Breve descrição;Tem Aplicativo;Tem Painel de Gestão;Foi Implementado;Teve usuários;Suporte via profissional de saúde;Integração com prefeituras;Integração com sistemas públicos;Tecnologias utilizadas;Ano;Link PDF
PADRÃO OURO: DESENVOLVIMENTO E AVALIAÇÃO DE APLICATIVO MÓVEL SOBRE ALEITAMENTO MATERNO PARA ENFERMEIROS;Aleitamento Materno;Aplicativo mobile educacional para enfermeiros sobre aleitamento materno, com seis módulos de conteúdo e avaliação por especialistas, baseado na Teoria da Aprendizagem Multimídia;Sim;Não;Protótipo;Não;Não;Não;Não;Canva pró,React,Firebase,Vercel;2023;http://repositorio.ufpi.br:8080/bitstream/handle/123456789/3988/AMANDA%20LUCIA%20BARRETO%20DANTAS.pdf?sequence=1
SOS MAMA: APLICATIVO MOVEL PARA PUERPERAS QUE VIVENCIAM DIFICULDADES NO ALEITAMENTO MATERNO;Aleitamento Materno;Dissertação de mestrado que apresenta o SOS MAMA, um aplicativo móvel voltado para puérperas com dificuldades no aleitamento materno.;Sim;Não;Não;Não;Não;Não;Não;Não especificado;2020;https://tede2.ufma.br/jspui/bitstream/tede/3453/2/Ana%20Paula%20Matos%20Ferreira0-2.pdf
Desenvolvimento de aplicativo móvel para o acompanhamento pré-natal e validação de conteúdo;Gestação/Pré-natal;Aplicativo Android para gestantes com conteúdo validado sobre pré-natal, parto, puerpério e aleitamento materno, com caderneta virtual e canal direto com profissionais de saúde;Sim;Não;Sim;Não;Sim;Sim;Não;Android Studio, Java, Java Server Faces (JSF), Spring, Hibernate;2022;https://www.scielo.br/j/ape/a/SktfCs9SXZH7MS9WS3kwf5K/?format=pdf&lang=pt
Amamentação com amor: um aplicativo móvel para as lactantes;Aleitamento Materno;Aplicativo Android gratuito desenvolvido com Flutter/Dart e Firebase, voltado a gestantes, puérperas e familiares para fornecer informações seguras e interativas sobre aleitamento materno e cuidados com recém-nascido;Sim;Não;Sim;Não;Não;Não;Não;Flutter, Dart, Firebase, Android Studio;2023;https://ojs.brazilianjournals.com.br/ojs/index.php/BJHR/article/view/62051/44686
Uma ontologia de aplicação e plataforma móvel para acompanhamento e promoção do aleitamento materno;Aleitamento Materno;Aplicativo Android com ontologia em OWL-DL para classificar intercorrências mamárias e recomendar manejo terapêutico, incluindo conteúdos educativos e suporte de profissionais;Sim;Não;Sim;Não;Sim;Não;Não;Flutter, Dart, Firebase, Protégé, OWL-DL;2021;https://ppgcc.ufersa.edu.br/wp-content/uploads/sites/42/2022/03/Disserta__o_ThaliaGurgel_Ame.pdf
GESTASUS: Aplicativo móvel para integração da caderneta da gestante ao SISPRENATAL WEB;Gestação/Pré-natal;Aplicativo Android que espelha a caderneta da gestante física e integra dados do SISPRENATAL Web por QR Code, validado com gestantes e especialistas;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Adobe XD, QR Code, HL7, SISPRENATAL Web;2025;https://repositorio.ufsc.br/bitstream/handle/123456789/264490/PGCF0241-T.pdf?sequence=-1&isAllowed=y
Hora de Mamar! Aplicação Mobile & Web de acompanhamento alimentar infantil direcionado a pais, cuidadores e profissionais de saúde de bebês de 0 a 12 meses;Aleitamento Materno;WebApp responsivo para registro e acompanhamento da alimentação infantil até 12 meses, com central de conhecimento, relatórios e compartilhamento de dados com médicos;Sim;Sim;Sim;Não;Sim;Não;Não;Symfony (PHP), RabbitMQ, Twig, Markdown, Natural Language Toolkit (Python), Banco de dados relacional;2021;https://repositorio.unesp.br/server/api/core/bitstreams/eaaec1cc-863c-41a4-961c-4311c3aa8f56/content
Produção de aplicativo móvel para orientações a mulher no puerpério;Puerpério;Aplicativo Android educativo com vídeos, ilustrações e conteúdos validados sobre aleitamento, saúde mental, traumas perineais e cuidados com o bebê, desenvolvido em Android Studio/Java;Sim;Não;Sim;Não;Sim;Não;Não;Android Studio, Java, Google Sites;2021;https://tede.unioeste.br/bitstream/tede/5782/5/Angela_Capelete2021.pdf
Desenvolvimento e validação de aplicativo em saúde no período puerperal;Puerpério;Aplicativo Android offline informativo desenvolvido em React Native para mulheres no puerpério, validado por profissionais de saúde e TI e por puérperas;Sim;Não;Sim;Sim;Sim;Não;Não;React Native, JavaScript, Google Forms, SPSS;2022;https://repositorio.ufrn.br/server/api/core/bitstreams/f85a5aaa-878d-4a6c-93e2-90dbf98d9c16/content
Aplicativo móvel sobre a primeira consulta de enfermagem ao recém-nascido na atenção básica: construção e validação;Puericultura;Aplicativo Android educativo com menus e conteúdos multimídia sobre a primeira consulta de enfermagem ao RN na atenção básica, validado por profissionais de saúde;Sim;Não;Sim;Não;Sim;Não;Não;Android Studio, Java, IntelliJ IDEA, Responsive Design;2021;https://www.teses.usp.br/teses/disponiveis/22/22133/tde-12052022-115550/publico/BeatrizMolinaCarvalho.pdf
Construção de tecnologia m-health para a promoção do aleitamento materno;Nutrizes;Aplicativo Android "Amamente" educativo sobre aleitamento, com 11 interfaces, vídeos, cartilhas e interação com profissionais, validado e registrado no INPI;Sim;Não;Sim;Sim;Sim;Não;Não;JavaScript, React, PostgreSQL, Android, Adobe Illustrator, Pressman, Registro INPI BR512021002438-9;2025;https://www.periodicos.ufpi.br/index.php/reufpi/article/view/4740/5003
Website para família de crianças não amamentadas: desenvolvimento e validação de conteúdo e de interface;Segurança Alimentar e Nutricional;Website educativo gratuito estruturado em árvore de decisão sobre tipos de leite e utensílios, com ilustrações e conteúdo validado por especialistas, para apoiar famílias e profissionais de saúde;Não;Não;Sim;Não;Sim;Sim;Não;WordPress, Elementor, Adobe Photoshop, QR Code, Google Forms, SPSS;2024;https://www.scielo.br/j/reben/a/LtspQWw4htsbMKM9Z4Krwmz/?format=pdf&lang=pt
AMAR – Aplicativo de Monitoramento, Acompanhamento e Rastreio do Desenvolvimento Infantil – um estudo de desenvolvimento e validade do conteúdo;Desenvolvimento Infantil;Sistema web e aplicativo mobile para acompanhamento compartilhado do crescimento e desenvolvimento infantil, com módulos para profissionais e famílias, validado quanto ao conteúdo;Sim;Sim;Sim;Sim;Sim;Não;Não;React, Django Rest Framework, PostgreSQL, Adobe XD;2021;https://repositorio.ufrn.br/server/api/core/bitstreams/34e3a6de-a6ba-4452-96c0-085683542fb3/content
Avaliação da usabilidade de um aplicativo móvel como facilitador de acesso a serviços de saúde de atenção à gestante de uma maternidade no sul do Maranhão;Gestantes de alto risco;Aplicativo Android com painel profissional e acesso gestante para comunicação, prontuário digital e informações de assistência, testado quanto à usabilidade por profissionais;Sim;Sim;Sim;Sim;Sim;Não;Não;Aplicativo Android, Web chat, Prontuário digital, Desktop;2021;https://repositorio.ufc.br/bitstream/riufc/58371/1/2021_art_lhamaciel.pdf
Aplicativo "PuerpérioSEGURO" em plataforma mobile como tecnologia para o cuidado à beira leito;Puerpério;Aplicativo Android para apoio ao enfermeiro obstetra com módulos de avaliação, plano de cuidados e notificações de risco, validado por especialistas;Sim;Não;Sim;Não;Sim;Não;Não;Java, Android SDK, Android Studio, SPSS, Google Forms;2020;https://tede.ufam.edu.br/bitstream/tede/7898/8/Disserta%c3%a7%c3%a3o_FranciscoBarros_PPGENF.pdf
Aplicativo "Nasci Bem" para profissionais de saúde e familiares de recém-nascidos: construção, validação e avaliação;Recém-nascido de risco habitual;Aplicativo móvel Android (em breve iOS) com conteúdos adaptados por perfil para práticas assistenciais humanizadas, validado por experts e público-alvo, e quiz interativo;Sim;Não;Sim;Sim;Sim;Não;Não;Javascript, React Native, Canva PRO, Freepik, Google Forms;2024;https://www.scielo.br/j/rlae/a/dbCTbKNkRFDbtrkpcTbsFZk/?format=pdf&lang=pt
Saber G‑estar: construção e validação de um aplicativo móvel para educação em saúde no ciclo gravídico‑puerperal;Ciclo gravídico‑puerperal;Aplicativo híbrido Android/iOS com conteúdo textual e multimídia para educação em saúde de gestantes, parturientes e puérperas, validado quanto à aceitação e qualidade por gestantes;Sim;Não;Sim;Sim;Sim;Não;Não;JavaScript, Design Centrado no Usuário, Ciclo de Vida de Prototipação, Google Forms, SPSS;2021;http://www.repositorio-bc.unirio.br:8080/xmlui/bitstream/handle/unirio/13225/DISSERTACAO%20MESTRADO%20VANESSA%20GROSSI%20-%20COMPLETA.pdf?sequence=3
Construção e validação de uma tecnologia móvel para apoio às mães de recém-nascidos prematuros;Mães de recém-nascidos pré-termo;Aplicativo Android gratuito para orientação pós-alta sobre cuidados neonatais, validado por especialistas em neonatologia, com linguagem acessível e tópicos como Método Canguru, amamentação e higiene;Sim;Não;Sim;Sim;Sim;Não;Não;Canva.com, SPSS, Design Centrado no Usuário, Google Forms, Excel;2025;https://www.scielo.br/j/reben/a/BDf6xDYL7Bykf6jVPtyhjqM/?format=pdf&lang=pt
SUS_PRÉ-NATAL_APP: protótipo de aplicativo móvel para o cuidado pré-natal no Sistema Único de Saúde;Gestantes e profissionais de saúde;Protótipo Android que digitaliza a caderneta de gestante com registros clínicos, exames, gráficos, plano de parto, agenda, informações educativas e acompanhamento do parceiro, registrado no INPI;Sim;Não;Sim;Não;Sim;Sim;Não;.NET, HTML, XML, BASIC, Marvel;2021;http://200.150.122.211/jspui/bitstream/23102004/501/1/DISSERTA%c3%87%c3%83O_FINAL_CLAUDENIR%20CALDAS.pdf
Sistema AcGest para assistência à saúde de gestantes e puérperas na atenção primária;Gestantes, puérperas, ACS e profissionais da ESF;Sistema integrado com dois aplicativos Android e módulo Web para gestão de cadastros, visitas domiciliares, ocorrências e registros pré/pós-natal, validado em ambiente simulado e pronto para teste com público-alvo;Sim;Sim;Sim;Não;Sim;Não;Não;Android Studio, Java, XML, Microsoft Power Platform, Cloud Computing, Registro INPI BR512020026554;2023;https://interfaces.unileao.edu.br/index.php/revista-interfaces/article/view/1189/947
Web app for the monitoring of pregnant and puerperal women: technological production;Gestantes e puérperas;Aplicativo web/móvel Gestar Care® para acompanhamento remoto com vídeo, texto e registro em prontuário eletrônico, validado via técnica Delphi e implementado online;Sim;Sim;Sim;Sim;Sim;Não;Não;Easy Easy App, SCRUM, TRELLO, Python, Django, Bootstrap, MySQL, Servidor Linux (Digital Ocean), Registro INPI BR512019002855-4;2022;https://docs.bvsalud.org/biblioref/2022/01/1353029/6529-article-text-38211-2-10-20220112.pdf
Desenvolvimento de aplicativo móvel para o acompanhamento pré-natal e validação de conteúdo;Gestantes e profissionais de saúde;Aplicativo Android "Gestação Saudável" com informações por trimestre, caderneta virtual, agenda com lembrete, fale conosco para interação com NASF-AB, validado por especialistas com IVC geral = 0,89;Sim;Não;Sim;Sim;Sim;Não;Não;Android Studio, Java, JSF, Spring, Hibernate, Design Instrucional Contextualizado, Excel;2022;https://www.scielo.br/j/ape/a/SktfCs9SXZH7MS9WS3kwf5K/?format=pdf&lang=pt
